otu	statistic	p.value	parameter	method	-1	0	1	p.value.adj
Otu0287	6.619964973730294	0.036516813272015634	2	Kruskal-Wallis rank sum test	8.407998108200425e-4	0	0	0.14447956555449662
Otu0311	6.619964973730294	0.036516813272015634	2	Kruskal-Wallis rank sum test	0.006595023516119709	0	0	0.14447956555449662
Otu0327	6.631578947368419	0.03630537512210585	2	Kruskal-Wallis rank sum test	1.3137497044063165e-4	0	0	0.14447956555449662
Otu0333	6.619964973730294	0.036516813272015634	2	Kruskal-Wallis rank sum test	2.1019995270501064e-4	0	0	0.14447956555449662
Otu0361	6.619964973730294	0.036516813272015634	2	Kruskal-Wallis rank sum test	3.15299929057516e-4	0	0	0.14447956555449662
Otu0387	6.619964973730294	0.036516813272015634	2	Kruskal-Wallis rank sum test	0.0031004493023989066	0	0	0.14447956555449662
Otu0388	6.631578947368419	0.03630537512210585	2	Kruskal-Wallis rank sum test	1.3137497044063165e-4	0	0	0.14447956555449662
Otu0393	6.619964973730294	0.036516813272015634	2	Kruskal-Wallis rank sum test	0.0024172994561076225	0	0	0.14447956555449662
Otu0396	6.619964973730294	0.036516813272015634	2	Kruskal-Wallis rank sum test	0.002207099503402612	0	0	0.14447956555449662
Otu0398	6.631578947368419	0.03630537512210585	2	Kruskal-Wallis rank sum test	2.1019995270501064e-4	0	0	0.14447956555449662
Otu0402	6.631578947368419	0.03630537512210585	2	Kruskal-Wallis rank sum test	1.3137497044063165e-4	0	0	0.14447956555449662
Otu0404	6.619964973730294	0.036516813272015634	2	Kruskal-Wallis rank sum test	0.0025749494206363803	0	0	0.14447956555449662
Otu0409	6.631578947368419	0.03630537512210585	2	Kruskal-Wallis rank sum test	2.3647494679313697e-4	0	0	0.14447956555449662
Otu0413	6.619964973730294	0.036516813272015634	2	Kruskal-Wallis rank sum test	2.3647494679313697e-4	0	0	0.14447956555449662
Otu0446	6.619964973730294	0.036516813272015634	2	Kruskal-Wallis rank sum test	1.57649964528758e-4	0	0	0.14447956555449662
Otu0457	6.619964973730294	0.036516813272015634	2	Kruskal-Wallis rank sum test	0.001681599621640085	0	0	0.14447956555449662
Otu0460	6.619964973730294	0.036516813272015634	2	Kruskal-Wallis rank sum test	6.30599858115032e-4	0	0	0.14447956555449662
