otu	statistic	p.value	parameter	method	-1	0	1	p.value.adj
Otu0216	5.249999999999986	0.07243975703425198	2	Kruskal-Wallis rank sum test	2.4523327815584577e-4	0	0	0.1483018647945316
Otu0217	5.249999999999986	0.07243975703425198	2	Kruskal-Wallis rank sum test	1.532707988474036e-4	0	0	0.1483018647945316
Otu0244	5.263157894736828	0.07196474394172347	2	Kruskal-Wallis rank sum test	6.130831953896143e-5	0	0	0.1483018647945316
Otu0246	5.263157894736828	0.07196474394172347	2	Kruskal-Wallis rank sum test	6.130831953896143e-5	0	0	0.1483018647945316
Otu0254	5.263157894736828	0.07196474394172347	2	Kruskal-Wallis rank sum test	1.2261663907792286e-4	0	0	0.1483018647945316
Otu0256	5.263157894736828	0.07196474394172347	2	Kruskal-Wallis rank sum test	6.130831953896143e-5	0	0	0.1483018647945316
Otu0267	5.263157894736828	0.07196474394172347	2	Kruskal-Wallis rank sum test	6.130831953896143e-5	0	0	0.1483018647945316
Otu0268	5.249999999999986	0.07243975703425198	2	Kruskal-Wallis rank sum test	3.065415976948072e-4	0	0	0.1483018647945316
Otu0272	5.249999999999986	0.07243975703425198	2	Kruskal-Wallis rank sum test	1.2261663907792289e-4	0	0	0.1483018647945316
Otu0275	5.263157894736828	0.07196474394172347	2	Kruskal-Wallis rank sum test	6.130831953896143e-5	0	0	0.1483018647945316
Otu0315	5.249999999999986	0.07243975703425198	2	Kruskal-Wallis rank sum test	9.196247930844215e-5	0	0	0.1483018647945316
Otu0325	5.249999999999986	0.07243975703425198	2	Kruskal-Wallis rank sum test	9.196247930844215e-5	0	0	0.1483018647945316
Otu0349	5.263157894736828	0.07196474394172347	2	Kruskal-Wallis rank sum test	6.130831953896143e-5	0	0	0.1483018647945316
Otu0359	5.249999999999986	0.07243975703425198	2	Kruskal-Wallis rank sum test	1.839249586168843e-4	0	0	0.1483018647945316
Otu0377	5.263157894736828	0.07196474394172347	2	Kruskal-Wallis rank sum test	1.2261663907792286e-4	0	0	0.1483018647945316
Otu0455	5.249999999999986	0.07243975703425198	2	Kruskal-Wallis rank sum test	9.196247930844215e-5	0	0	0.1483018647945316
Otu0487	5.263157894736828	0.07196474394172347	2	Kruskal-Wallis rank sum test	6.130831953896143e-5	0	0	0.1483018647945316
Otu0654	5.249999999999986	0.07243975703425198	2	Kruskal-Wallis rank sum test	1.532707988474036e-4	0	0	0.1483018647945316
