otu	statistic	p.value	parameter	method	Schloss	Young	Jackson	Charles River	Taconic	Envigo	p.value.adj
Oscillibacter (OTU 268)	16.04025992899704	0.006730065084545858	5	Kruskal-Wallis rank sum test	5.14989884127276e-4	9.604970061103959e-4	0	2.3647494679313697e-4	0	1.839249586168843e-4	0.04540427111683538
Lachnospiraceae (OTU 135)	15.993552253116	0.00686250665877997	5	Kruskal-Wallis rank sum test	0	0	0	0	4.5981239654221075e-5	0.007094248403794109	0.045525378995299265
Lachnospiraceae (OTU 72)	15.940390941186628	0.007016337222935837	5	Kruskal-Wallis rank sum test	0.0011771197351480595	0.002350152248993522	0.0012506897185948134	7.356998344675372e-4	0.003954386610263013	1.839249586168843e-4	0.04613396952779936
Lachnospiraceae (OTU 223)	15.894392889818326	0.007152144939997164	5	Kruskal-Wallis rank sum test	3.678499172337686e-5	0	0	0.0010509997635250532	0	2.627499408812633e-4	0.04661441833699906
Coriobacteriaceae (OTU 437)	15.684047327621416	0.007806485886385715	5	Kruskal-Wallis rank sum test	2.942799337870149e-4	2.0436106512987143e-5	0	0	0	0	0.05043668707464857
Lachnospiraceae (OTU 120)	15.561970071759216	0.008212573461003247	5	Kruskal-Wallis rank sum test	0	2.0436106512987143e-5	3.678499172337686e-5	0.0018392495861688431	0.002299061982711054	3.1529992905751593e-4	0.052602948978667345
Lachnospiraceae (OTU 33)	15.501446392308027	0.008421448120534587	5	Kruskal-Wallis rank sum test	2.942799337870149e-4	0.008869270226636422	0	0.0021808245093144856	0.009977929004965974	0.005018523870832129	0.05302657587760337
Ruminococcaceae (OTU 60)	15.510349464808185	0.008390401711649552	5	Kruskal-Wallis rank sum test	0.0016553246275519589	0.008480984202889666	3.678499172337686e-4	6.305998581150319e-4	0	0.0028902493496938964	0.05302657587760337
Porphyromonadaceae (OTU 8)	15.477206189878714	0.008506544491521446	5	Kruskal-Wallis rank sum test	0.1033290417509656	0.05117201070851981	0	0	0	0.016789721222312724	0.05311229039664231
Lachnospiraceae (OTU 113)	15.40439296439296	0.008767214880380451	5	Kruskal-Wallis rank sum test	0.004303844031635093	0.0023092800359675474	0	0.0013925746866706955	0	1.0509997635250532e-4	0.053393775869857996
Dorea (OTU 267)	15.420222634508361	0.008709892689976524	5	Kruskal-Wallis rank sum test	7.356998344675372e-5	0	0	7.8824982264379e-5	2.299061982711054e-4	0	0.053393775869857996
Clostridiales (OTU 376)	15.430249359123769	0.0086737726294008	5	Kruskal-Wallis rank sum test	0	0	4.7820489240389924e-4	5.254998817625266e-5	0	0	0.053393775869857996
Eisenbergiella (OTU 164)	15.368399211536465	0.008898922680137826	5	Kruskal-Wallis rank sum test	0	4.087221302597429e-4	0.003200294279933787	1.839249586168843e-4	0	0	0.05375528090522281
Ruminococcaceae (OTU 84)	15.338424179798501	0.009010072137057464	5	Kruskal-Wallis rank sum test	4.0463490895714546e-4	0.004618560071935095	0.0017288946109987125	0.0017341496098163378	0	0.002391024462019496	0.05398777095027174
Porphyromonadaceae (OTU 29)	15.288782358581042	0.009197120033568703	5	Kruskal-Wallis rank sum test	0	0	0	0.0952994035576342	0	2.627499408812633e-5	0.05466768147953237
Lachnospiraceae (OTU 136)	15.049057492006842	0.010154766684399248	5	Kruskal-Wallis rank sum test	9.196247930844216e-4	0.002207099503402612	9.931947765311753e-4	4.203999054100213e-4	0	0	0.05988088608340192
Porphyromonadaceae (OTU 30)	14.884947267497592	0.010865420421167294	5	Kruskal-Wallis rank sum test	0	0	0	1.0509997635250532e-4	0	0.06765810977692531	0.06330501994203809
Lachnospiraceae (OTU 151)	14.875927926671993	0.010905844619893506	5	Kruskal-Wallis rank sum test	0.001066764759977929	8.787525800584472e-4	5.885598675740298e-4	3.4157492314564226e-4	7.356998344675372e-4	5.254998817625266e-5	0.06330501994203809
Acetatifactor (OTU 231)	14.848889021800884	0.011027907249492113	5	Kruskal-Wallis rank sum test	0	3.2697770420779434e-4	0	4.7294989358627395e-4	0	0	0.06351732625095069
Lachnospiraceae (OTU 17)	14.681465061555798	0.011813728868281845	5	Kruskal-Wallis rank sum test	0.008644473054993563	0.0026566938466883287	0.06201949604561339	0.008986047978139206	0.0495217951075961	0.007961323208702279	0.06752000422410316
Clostridiales (OTU 138)	14.648597324126067	0.011974243638115846	5	Kruskal-Wallis rank sum test	0	0	1.4713996689350744e-4	3.1529992905751593e-4	0	0	0.06791498490931354
Lachnospiraceae (OTU 142)	14.331921891058569	0.01363295107782326	5	Kruskal-Wallis rank sum test	0	0	0	5.254998817625266e-5	0	0.004203999054100213	0.07673698977895972
Lachnospiraceae (OTU 28)	14.307035739789855	0.01377233212298717	5	Kruskal-Wallis rank sum test	0.004414199006805223	0.0034128297876688534	0.008129483170866286	0.002469849444283875	0.009564097848077983	0.0027851493733413906	0.07693866742390577
Ruminococcaceae (OTU 55)	13.906789788158598	0.016212466958090574	5	Kruskal-Wallis rank sum test	0.004046349089571455	0.007745284368422128	0.0055177487585065296	0.001996899550697601	0.001103549751701306	0.0011560997398775586	0.08473213595947354
Ruminococcaceae (OTU 63)	13.689885756210032	0.01770405622161459	5	Kruskal-Wallis rank sum test	0	0.0010422414321623445	1.839249586168843e-4	8.145248167319162e-4	0.007862791980871805	0.0013925746866706955	0.08473213595947354
Clostridium (OTU 99)	13.729757497922488	0.017420293105959793	5	Kruskal-Wallis rank sum test	4.782048924038992e-4	1.2261663907792286e-4	2.2070995034026116e-4	3.15299929057516e-4	0.0017472871068604009	1.839249586168843e-4	0.08473213595947354
Ruminococcaceae (OTU 118)	13.600591925081714	0.018355799866272945	5	Kruskal-Wallis rank sum test	3.678499172337686e-5	3.8828602374675576e-4	3.3106492551039174e-4	0.0012086497280538113	0.0012414934706639692	0.0013925746866706955	0.08473213595947354
Bacteria (OTU 129)	13.591836734693931	0.018420932880832408	5	Kruskal-Wallis rank sum test	0	0	0	3.4157492314564226e-4	0	0	0.08473213595947354
Alistipes (OTU 144)	13.584649089672936	0.018474570693721014	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.003179274284663286	0.08473213595947354
Lachnospiraceae (OTU 163)	13.953594759511827	0.015906890819887366	5	Kruskal-Wallis rank sum test	0.001103549751701306	0.001818813479655856	0.001802464594445466	4.203999054100213e-4	5.057936361964318e-4	1.0509997635250532e-4	0.08473213595947354
Lachnospiraceae (OTU 173)	13.584649089672936	0.018474570693721014	5	Kruskal-Wallis rank sum test	0	0	0	0.0023647494679313696	0	0	0.08473213595947354
Anaeroplasma (OTU 185)	13.584649089672936	0.018474570693721014	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0018917995743450956	0.08473213595947354
