genus	statistic	p.value	parameter	method	-1	0	1	2	3	4	5	6	7	8	9	p.value.adj
Lactobacillales unclassified	11.78921568627453	0.2994112333866808	10	Kruskal-Wallis rank sum test	0	6.130831953896143e-5	4.5981239654221075e-5	3.678499172337686e-5	0	0	0	0	0	0	0	0.48727710531557855
Acidaminococcus	10.833333333333266	0.3706495459955105	10	Kruskal-Wallis rank sum test	0	3.0654159769480714e-5	0	0	0	0	0	0	0	0	0	0.5397177599583749
Catabacter	10.833333333333266	0.3706495459955105	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	3.0654159769480714e-5	0	0	0	0	0.5397177599583749
Chitinophagaceae unclassified	10.833333333333266	0.3706495459955105	10	Kruskal-Wallis rank sum test	0	3.0654159769480714e-5	0	0	0	0	0	0	0	0	0	0.5397177599583749
Corynebacterium	11.176328502415092	0.34394649053261384	10	Kruskal-Wallis rank sum test	0	3.0654159769480714e-5	0	3.678499172337686e-5	0	0	0	0	0	0	0	0.5397177599583749
Geobacillus	10.833333333333266	0.3706495459955105	10	Kruskal-Wallis rank sum test	0	3.0654159769480714e-5	0	0	0	0	0	0	0	0	0	0.5397177599583749
Nocardiopsis	10.833333333333266	0.3706495459955105	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	3.0654159769480714e-5	0	0	0	0	0.5397177599583749
Olsenella	10.3188405797098	0.4129796819880309	10	Kruskal-Wallis rank sum test	0	0	0	3.678499172337686e-5	0	0	0	2.627499408812633e-5	0	0	0	0.5909881656035615
Adhaeribacter	9.142857142857801	0.5186017931173424	10	Kruskal-Wallis rank sum test	2.627499408812633e-5	0	0	0	0	0	0	0	0	0	0	0.6004924676767336
Anaerostipes	9.142857142857801	0.5186017931173424	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	2.627499408812633e-5	0.6004924676767336
Bacilli unclassified	9.675724637681524	0.4693887031916232	10	Kruskal-Wallis rank sum test	0	0	2.2990619827110538e-5	3.678499172337686e-5	0	0	0	0	0	0	0	0.6004924676767336
Bacillus	9.142857142857801	0.5186017931173424	10	Kruskal-Wallis rank sum test	2.627499408812633e-5	0	0	0	0	0	0	0	0	0	0	0.6004924676767336
Barnesiella	9.142857142857801	0.5186017931173424	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	2.627499408812633e-5	0.6004924676767336
Butyricimonas	9.142857142857801	0.5186017931173424	10	Kruskal-Wallis rank sum test	2.627499408812633e-5	0	0	0	0	0	0	0	0	0	0	0.6004924676767336
Dactylosporangium	9.142857142857801	0.5186017931173424	10	Kruskal-Wallis rank sum test	2.627499408812633e-5	0	0	0	0	0	0	0	0	0	0	0.6004924676767336
Desulfovibrionales unclassified	10.07082978118786	0.43430128886727953	10	Kruskal-Wallis rank sum test	2.627499408812633e-5	0	0	0	0	7.882498226437898e-5	6.130831953896143e-5	0	0	0	5.254998817625266e-5	0.6004924676767336
Fusobacterium	9.118357487922877	0.5209091285870461	10	Kruskal-Wallis rank sum test	2.627499408812633e-5	3.0654159769480714e-5	0	0	0	0	0	0	0	0	0	0.6004924676767336
Phenylobacterium	9.270301357257653	0.506657617034667	10	Kruskal-Wallis rank sum test	0	3.0654159769480714e-5	0	3.678499172337686e-5	0	0	0	0	0	0	7.8824982264379e-5	0.6004924676767336
