otu	statistic	p.value	method	alternative	colonized	not_detectable	p.value.adj
Lachnospiraceae (OTU 193)	110.5	0.13763754938231637	Wilcoxon rank sum test with continuity correction	two.sided	0	4.904665563116915e-5	0.49459214835603094
Alistipes (OTU 194)	119	0.31636346001862237	Wilcoxon rank sum test with continuity correction	two.sided	0	1.2261663907792286e-5	0.49459214835603094
Lachnospiraceae (OTU 198)	119	0.31636346001862237	Wilcoxon rank sum test with continuity correction	two.sided	0	2.4523327815584572e-5	0.49459214835603094
Lachnospiraceae (OTU 203)	150	0.10038390598940308	Wilcoxon rank sum test with continuity correction	two.sided	1.622867281913685e-4	0	0.49459214835603094
Lachnospiraceae (OTU 207)	135	0.3806419965289062	Wilcoxon rank sum test with continuity correction	two.sided	1.08191152127579e-5	0	0.49459214835603094
Romboutsia (OTU 212)	110.5	0.13763754938231637	Wilcoxon rank sum test with continuity correction	two.sided	0	2.0844828643246888e-4	0.49459214835603094
Ruminococcaceae (OTU 214)	135	0.3806419965289062	Wilcoxon rank sum test with continuity correction	two.sided	2.16382304255158e-5	0	0.49459214835603094
Lachnospiraceae (OTU 218)	119	0.31636346001862237	Wilcoxon rank sum test with continuity correction	two.sided	0	7.356998344675373e-5	0.49459214835603094
Clostridium (OTU 226)	119	0.31636346001862237	Wilcoxon rank sum test with continuity correction	two.sided	0	1.2261663907792286e-5	0.49459214835603094
Lachnospiraceae (OTU 230)	135	0.3806419965289062	Wilcoxon rank sum test with continuity correction	two.sided	1.08191152127579e-5	0	0.49459214835603094
Acetatifactor (OTU 231)	150	0.10050574158579234	Wilcoxon rank sum test with continuity correction	two.sided	1.406484977658527e-4	0	0.49459214835603094
Porphyromonadaceae (OTU 233)	119	0.31636346001862237	Wilcoxon rank sum test with continuity correction	two.sided	0	1.2261663907792286e-5	0.49459214835603094
Erysipelotrichaceae (OTU 234)	88.5	0.055618929330019676	Wilcoxon rank sum test with continuity correction	two.sided	6.49146912765474e-5	4.0463490895714546e-4	0.49459214835603094
Lachnospiraceae (OTU 245)	119	0.31636346001862237	Wilcoxon rank sum test with continuity correction	two.sided	0	6.130831953896144e-5	0.49459214835603094
Firmicutes (OTU 256)	110.5	0.13743277807395612	Wilcoxon rank sum test with continuity correction	two.sided	0	2.4523327815584572e-5	0.49459214835603094
Lachnospiraceae (OTU 264)	142.5	0.1919987161400521	Wilcoxon rank sum test with continuity correction	two.sided	2.488396498934317e-4	0	0.49459214835603094
Bacteria (OTU 265)	135	0.3806419965289062	Wilcoxon rank sum test with continuity correction	two.sided	3.24573456382737e-5	0	0.49459214835603094
Lachnospiraceae (OTU 281)	119	0.31636346001862237	Wilcoxon rank sum test with continuity correction	two.sided	0	1.2261663907792286e-5	0.49459214835603094
Alistipes (OTU 285)	135	0.3806419965289062	Wilcoxon rank sum test with continuity correction	two.sided	1.08191152127579e-5	0	0.49459214835603094
Bacteroidales (OTU 289)	135	0.3806419965289062	Wilcoxon rank sum test with continuity correction	two.sided	6.49146912765474e-5	0	0.49459214835603094
Coriobacteriaceae (OTU 293)	110.5	0.13743277807395612	Wilcoxon rank sum test with continuity correction	two.sided	0	2.4523327815584572e-5	0.49459214835603094
Clostridium (OTU 296)	119	0.31636346001862237	Wilcoxon rank sum test with continuity correction	two.sided	0	3.678499172337687e-5	0.49459214835603094
Clostridiales (OTU 305)	135	0.3806419965289062	Wilcoxon rank sum test with continuity correction	two.sided	1.08191152127579e-5	0	0.49459214835603094
Porphyromonadaceae (OTU 311)	135	0.3806419965289062	Wilcoxon rank sum test with continuity correction	two.sided	1.08191152127579e-5	0	0.49459214835603094
Clostridiales (OTU 322)	119	0.31636346001862237	Wilcoxon rank sum test with continuity correction	two.sided	0	1.2261663907792286e-5	0.49459214835603094
Clostridiales (OTU 324)	110.5	0.13763754938231637	Wilcoxon rank sum test with continuity correction	two.sided	0	2.942799337870149e-4	0.49459214835603094
Lachnospiraceae (OTU 344)	119	0.31636346001862237	Wilcoxon rank sum test with continuity correction	two.sided	0	1.2261663907792286e-5	0.49459214835603094
Ruminococcaceae (OTU 381)	135	0.3806419965289062	Wilcoxon rank sum test with continuity correction	two.sided	1.08191152127579e-5	0	0.49459214835603094
Erysipelotrichaceae (OTU 383)	110.5	0.13763754938231637	Wilcoxon rank sum test with continuity correction	two.sided	0	2.3297161424805347e-4	0.49459214835603094
Clostridium (OTU 403)	119	0.31636346001862237	Wilcoxon rank sum test with continuity correction	two.sided	0	4.9046655631169145e-5	0.49459214835603094
Proteobacteria (OTU 407)	110.5	0.13763754938231637	Wilcoxon rank sum test with continuity correction	two.sided	0	2.57494942063638e-4	0.49459214835603094
Lachnospiraceae (OTU 417)	119	0.31636346001862237	Wilcoxon rank sum test with continuity correction	two.sided	0	1.2261663907792286e-5	0.49459214835603094
Coriobacteriaceae (OTU 427)	135	0.3806419965289062	Wilcoxon rank sum test with continuity correction	two.sided	1.08191152127579e-5	0	0.49459214835603094
Ruminococcaceae (OTU 430)	135	0.3806419965289062	Wilcoxon rank sum test with continuity correction	two.sided	1.08191152127579e-5	0	0.49459214835603094
Lachnospiraceae (OTU 433)	119	0.31636346001862237	Wilcoxon rank sum test with continuity correction	two.sided	0	1.2261663907792286e-5	0.49459214835603094
Bacteroidales (OTU 482)	119	0.31636346001862237	Wilcoxon rank sum test with continuity correction	two.sided	0	1.2261663907792286e-5	0.49459214835603094
Ruminococcaceae (OTU 520)	150	0.10050574158579234	Wilcoxon rank sum test with continuity correction	two.sided	1.298293825530948e-4	0	0.49459214835603094
Lachnospiraceae (OTU 531)	119	0.31636346001862237	Wilcoxon rank sum test with continuity correction	two.sided	0	1.2261663907792286e-5	0.49459214835603094
Staphylococcus (OTU 549)	142.5	0.19176739819872374	Wilcoxon rank sum test with continuity correction	two.sided	2.16382304255158e-5	0	0.49459214835603094
Bacteroides (OTU 560)	135	0.3806419965289062	Wilcoxon rank sum test with continuity correction	two.sided	1.08191152127579e-5	0	0.49459214835603094
Firmicutes (OTU 584)	135	0.3806419965289062	Wilcoxon rank sum test with continuity correction	two.sided	3.24573456382737e-5	0	0.49459214835603094
Lactobacillales (OTU 603)	110.5	0.13763754938231637	Wilcoxon rank sum test with continuity correction	two.sided	0	6.130831953896144e-5	0.49459214835603094
Porphyromonadaceae (OTU 608)	135	0.3806419965289062	Wilcoxon rank sum test with continuity correction	two.sided	1.08191152127579e-5	0	0.49459214835603094
Escherichia/Shigella (OTU 610)	157.5	0.0519183971347178	Wilcoxon rank sum test with continuity correction	two.sided	4.32764608510316e-5	0	0.49459214835603094
Phenylobacterium (OTU 627)	142.5	0.1919987161400521	Wilcoxon rank sum test with continuity correction	two.sided	3.24573456382737e-5	0	0.49459214835603094
Faecalibacterium (OTU 696)	135	0.3806419965289062	Wilcoxon rank sum test with continuity correction	two.sided	1.08191152127579e-5	0	0.49459214835603094
Geobacillus (OTU 730)	135	0.3806419965289062	Wilcoxon rank sum test with continuity correction	two.sided	1.08191152127579e-5	0	0.49459214835603094
Clostridium (OTU 733)	119	0.31636346001862237	Wilcoxon rank sum test with continuity correction	two.sided	0	1.2261663907792286e-5	0.49459214835603094
Alishewanella (OTU 776)	142.5	0.1919987161400521	Wilcoxon rank sum test with continuity correction	two.sided	3.24573456382737e-5	0	0.49459214835603094
Clostridium_sensu (OTU 797)	119	0.31636346001862237	Wilcoxon rank sum test with continuity correction	two.sided	0	1.2261663907792286e-5	0.49459214835603094
Escherichia/Shigella (OTU 803)	110.5	0.13763754938231637	Wilcoxon rank sum test with continuity correction	two.sided	0	3.678499172337686e-5	0.49459214835603094
Enhydrobacter (OTU 818)	119	0.31636346001862237	Wilcoxon rank sum test with continuity correction	two.sided	0	1.2261663907792286e-5	0.49459214835603094
Lactobacillus (OTU 834)	135	0.3806419965289062	Wilcoxon rank sum test with continuity correction	two.sided	1.08191152127579e-5	0	0.49459214835603094
Corynebacterium (OTU 845)	119	0.31636346001862237	Wilcoxon rank sum test with continuity correction	two.sided	0	1.2261663907792286e-5	0.49459214835603094
Paracoccus (OTU 853)	119	0.31636346001862237	Wilcoxon rank sum test with continuity correction	two.sided	0	1.2261663907792286e-5	0.49459214835603094
Alishewanella (OTU 862)	135	0.3806419965289062	Wilcoxon rank sum test with continuity correction	two.sided	1.08191152127579e-5	0	0.49459214835603094
Fusobacterium (OTU 906)	119	0.31636346001862237	Wilcoxon rank sum test with continuity correction	two.sided	0	1.2261663907792286e-5	0.49459214835603094
Porphyromonadaceae (OTU 928)	119	0.31636346001862237	Wilcoxon rank sum test with continuity correction	two.sided	0	1.2261663907792286e-5	0.49459214835603094
Parasutterella (OTU 949)	135	0.3806419965289062	Wilcoxon rank sum test with continuity correction	two.sided	1.08191152127579e-5	0	0.49459214835603094
Bacteroides (OTU 997)	135	0.3806419965289062	Wilcoxon rank sum test with continuity correction	two.sided	1.08191152127579e-5	0	0.49459214835603094
Lactobacillales (OTU 1037)	119	0.31636346001862237	Wilcoxon rank sum test with continuity correction	two.sided	0	2.4523327815584572e-5	0.49459214835603094
Firmicutes (OTU 1058)	135	0.3806419965289062	Wilcoxon rank sum test with continuity correction	two.sided	1.08191152127579e-5	0	0.49459214835603094
Lactobacillus (OTU 1062)	119	0.31636346001862237	Wilcoxon rank sum test with continuity correction	two.sided	0	1.2261663907792286e-5	0.49459214835603094
Acidaminococcus (OTU 1102)	119	0.31636346001862237	Wilcoxon rank sum test with continuity correction	two.sided	0	1.2261663907792286e-5	0.49459214835603094
Enterococcus (OTU 1284)	119	0.31636346001862237	Wilcoxon rank sum test with continuity correction	two.sided	0	1.2261663907792286e-5	0.49459214835603094
Planomicrobium (OTU 1389)	119	0.31636346001862237	Wilcoxon rank sum test with continuity correction	two.sided	0	1.2261663907792286e-5	0.49459214835603094
Lachnospiraceae (OTU 1482)	135	0.3806419965289062	Wilcoxon rank sum test with continuity correction	two.sided	1.08191152127579e-5	0	0.49459214835603094
