key	value	rank	sign
Otu021	0.006028179975944814	37	positive
Otu054	0.004319608931559757	38	positive
Otu031	0	39	zero
Otu032	0	40	zero
Otu033	0	41	zero
Otu034	0	42	zero
Otu035	0	43	zero
Otu038	0	44	zero
Otu041	0	45	zero
Otu042	0	46	zero
Otu043	0	47	zero
Otu044	0	48	zero
Otu045	0	49	zero
Otu046	0	50	zero
Otu047	0	51	zero
Otu048	0	52	zero
Otu049	0	53	zero
Otu050	0	54	zero
Otu051	0	55	zero
Otu052	0	56	zero
Otu053	0	57	zero
Otu055	0	58	zero
Otu056	0	59	zero
Otu058	0	60	zero
Otu060	0	61	zero
Otu061	0	62	zero
Otu062	0	63	zero
Otu063	0	64	zero
Otu065	0	65	zero
Otu066	0	66	zero
Otu068	0	67	zero
Otu069	0	68	zero
Otu070	0	69	zero
Otu071	0	70	zero
Otu073	0	71	zero
Otu074	0	72	zero
Otu076	0	73	zero
Otu079	0	74	zero
Otu080	0	75	zero
Otu082	0	76	zero
Otu083	0	77	zero
Otu087	0	78	zero
Otu088	0	79	zero
Otu091	0	80	zero
Otu095	0	81	zero
Otu097	0	82	zero
Otu102	0	83	zero
Otu105	0	84	zero
Otu106	0	85	zero
Otu112	0	86	zero
Otu113	0	87	zero
Otu026	0.5683650371857748	1	positive
Otu013	-0.5400586506920871	2	negative
Otu023	-0.49343315142408894	3	negative
Otu029	0.4570790213903269	4	positive
Otu005	-0.4032724490439082	5	negative
Otu014	0.39833494055231716	6	positive
Otu030	0.37539830712689415	7	positive
Otu012	-0.3748114895450171	8	negative
Otu085	-0.3373328266764231	9	negative
Otu009	0.33418115927028863	10	positive
Otu066	-0.33378052324631663	11	negative
Otu002	-0.3291506880984493	12	negative
Otu020	-0.3111902333604517	13	negative
Otu017	-0.310084721231695	14	negative
Otu033	-0.2979225113342442	15	negative
Otu069	-0.2979225113342442	16	negative
Otu008	-0.29616641660131443	17	negative
Otu032	0.2830760399169277	18	positive
Otu038	0.2830760399169277	19	positive
Otu025	-0.27924793125439573	20	negative
Otu010	0.2791223482226721	21	positive
Otu039	-0.26203495459893994	22	negative
Otu001	-0.26039764879859517	23	negative
Otu006	0.25368446878030937	24	positive
Otu027	-0.2351339500273127	25	negative
Otu021	0.20565802723782306	26	positive
Otu011	-0.20561813913831506	27	negative
Otu018	0.19149539939964969	28	positive
Otu003	0.1761930665971064	29	positive
Otu022	-0.17442663690050778	30	negative
Otu040	-0.16722697935036507	31	negative
Otu084	-0.16722697935036507	32	negative
Otu016	-0.1380393107579568	33	negative
Otu036	0.13421957998037942	34	positive
Otu007	-0.1099179155791307	35	negative
Otu024	0.09278615280424693	36	positive
Otu028	0.07163039839814792	37	positive
Otu004	-0.07144594803735872	38	negative
Otu019	0.0703455482143385	39	positive
Otu015	0.06388141242950181	40	positive
Otu054	0.06114740631846706	41	positive
Otu037	0.00840082263297992	42	positive
Otu031	0	43	zero
Otu034	0	44	zero
Otu035	0	45	zero
Otu041	0	46	zero
Otu042	0	47	zero
Otu043	0	48	zero
Otu044	0	49	zero
Otu045	0	50	zero
Otu046	0	51	zero
Otu047	0	52	zero
Otu048	0	53	zero
Otu049	0	54	zero
Otu050	0	55	zero
Otu051	0	56	zero
Otu052	0	57	zero
Otu053	0	58	zero
Otu055	0	59	zero
Otu056	0	60	zero
Otu058	0	61	zero
Otu060	0	62	zero
Otu061	0	63	zero
Otu062	0	64	zero
Otu063	0	65	zero
Otu065	0	66	zero
Otu068	0	67	zero
Otu070	0	68	zero
Otu071	0	69	zero
Otu073	0	70	zero
Otu074	0	71	zero
Otu075	0	72	zero
Otu076	0	73	zero
Otu079	0	74	zero
Otu080	0	75	zero
Otu082	0	76	zero
Otu083	0	77	zero
Otu087	0	78	zero
Otu088	0	79	zero
Otu091	0	80	zero
Otu095	0	81	zero
Otu097	0	82	zero
Otu102	0	83	zero
Otu105	0	84	zero
Otu106	0	85	zero
Otu112	0	86	zero
Otu113	0	87	zero
Otu051	2.0393649858074165	1	positive
Otu012	-1.9486190038828333	2	negative
Otu004	-1.7757419020696632	3	negative
Otu015	1.6693060068654948	4	positive
Otu006	1.514492480485085	5	positive
Otu019	1.4203398648525514	6	positive
Otu022	1.3792601967307545	7	positive
Otu010	1.3129451077476681	8	positive
Otu013	-1.2218564419143403	9	negative
Otu025	-1.1956103923022345	10	negative
Otu054	-1.1755294033020072	11	negative
Otu014	1.1056735844041488	12	positive
Otu028	-1.100753778358766	13	negative
Otu024	1.0959920482278678	14	positive
Otu037	-0.8803115511671445	15	negative
Otu029	0.8747272164994359	16	positive
Otu034	-0.7947288530291658	17	negative
Otu085	-0.7947288530291658	18	negative
Otu007	-0.784447634663329	19	negative
Otu020	-0.7092024587619371	20	negative
Otu017	-0.6851207072067659	21	negative
Otu021	0.664329173355441	22	positive
Otu087	-0.6276073438537932	23	negative
Otu008	-0.5545062792855088	24	negative
Otu026	0.5006054823368747	25	positive
Otu001	-0.48066582462651336	26	negative
Otu039	-0.45694304771511374	27	negative
Otu009	0.44611808837297695	28	positive
Otu002	-0.4316978757411935	29	negative
Otu011	-0.4117547477503373	30	negative
Otu075	-0.40445436558920217	31	negative
Otu018	0.3981231601406729	32	positive
Otu027	-0.3833010181601147	33	negative
Otu023	-0.37924383170654247	34	negative
Otu040	-0.3435787727401642	35	negative
Otu084	-0.3435787727401642	36	negative
Otu016	0.3255045581587014	37	positive
Otu003	-0.18536308924596	38	negative
Otu036	0.16937824851940828	39	positive
Otu032	0.15446909433220962	40	positive
Otu038	0.15446909433220962	41	positive
Otu005	0.04658885445527663	42	positive
